	 URL	 Mobile_Accessibility	 Desktop_Accessibility			
	https://train.bhsol-pssd.vac-acc.gc.ca/	 	 			
	https://www.veterans.gc.ca/	100	100			
	https://crorders-commandescss.vac-acc.gc.ca/	 	 			
	https://mailhost.vac-acc.gc.ca/	 	 			
	https://www.vac-acc.gc.ca/	 	 			
	https://www.acc.gc.ca/	 	 			
	https://cco-bcc.gc.ca/	 	 			
	https://www.cdc-dcc.gc.ca/	77	77			
	https://www4.rhdcc.gc.ca/	 	 			
	https://www5.rhdcc.gc.ca/	 	 			
	https://www.ccg-gcc.gc.ca/	100	100			
	https://www.pacific.ccg-gcc.gc.ca/	100	100			
	https://nis.ccg-gcc.gc.ca/	100	100			
	https://support.ccg-gcc.gc.ca/	 	 			
	https://www.ccg-gcc.gc.ca/	100	100			
	https://lghc-lgcc.gc.ca/	 	 			
	https://pub.cci-icc.gc.ca/	 	 			
	https://www.cci-icc.gc.ca/	 	 			
	https://pbc-clcc.gc.ca/	 	 			
	https://ncc.gc.ca/	 	 			
	https://www.ccn-ncc.gc.ca/	 	 			
	https://www.securitepublique.gc.ca/	100	100			
	https://www.publicsafety.gc.ca/	100	100			
	https://www.publicsafety.gc.ca/	100	100			
	https://www.crcc.gc.ca/	 	 			
	https://scc.gc.ca/	 	 			
	https://appsweb.csc-scc.gc.ca/bureau/welu.htm	89	89			
	https://epsc.csc-scc.gc.ca/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1	55	55			
	https://ld-ap.csc-scc.gc.ca/custom.htm	54	54			
	https://victimsportal-portailvictimes.csc-scc.gc.ca/Main/Welcome	100	100			
	https://www.csc-scc.gc.ca/	100	100			
	https://dccintra.dcc-cdc.gc.ca/	 	 			
	https://mail.dcc-cdc.gc.ca/	 	 			
	https://ftp.dcc-cdc.gc.ca/	 	 			
	https://gis.dcc-cdc.gc.ca/	 	 			
	https://www.dcc-cdc.gc.ca/	79	79			
	https://drdc-rddc.gc.ca/	 	 			
	https://candid.drdc-rddc.gc.ca/	93	93			
	https://cradpdf.drdc-rddc.gc.ca/	100	100			
	https://www.ttcp.drdc-rddc.gc.ca/	 	 			
	https://pubs.drdc-rddc.gc.ca/	100	100			
	https://partners.drdc-rddc.gc.ca/	 	 			
	https://www.drdc-rddc.gc.ca/	100	100			
	https://edc.gc.ca/	 	 			
	https://gocns-kedc.gc.ca/	 	 			
	https://www.canada.ca/en/indigenous-northern-affairs.html	100	100			
	https://www.canada.ca/fr/affaires-autochtones-nord.html	100	100			
	https://publications.sac-isc.gc.ca/PubCBW/publication/catalog.aspx?l=E	100	100			
	https://rmedia.aadnc-aandc.gc.ca/	91	91			
	https://as-sa.aadnc-aandc.gc.ca/	 	 			
	https://data.aadnc-aandc.gc.ca/	 	 			
	https://virtua.aadnc-aandc.gc.ca/	62	62			
	https://osez-dare.aadnc-aandc.gc.ca/	100	100			
	https://cippn-fnpim.aadnc-aandc.gc.ca/	 	 			
	https://services.sac-isc.gc.ca/fnp/	100	100			
	https://pa-ap.sac-isc.gc.ca/logon/LogonPoint/tmindex.html	62	58			
	https://services.aadnc-aandc.gc.ca/	 	 			
	https://sidait-atris.aadnc-aandc.gc.ca/atris_online/	100	100			
	https://ns.aadnc-aandc.gc.ca/	 	 			
	https://ns-redirections.aadnc-aandc.gc.ca/	 	 			
	https://r-2000.gc.ca/	 	 			
	https://www.nrcan.gc.ca/energy-efficiency/homes/professional-opportunities/become-energy-efficient-builder/details-the-r-2000-standard/20588	100	100			
	https://canada150.gc.ca/	 	 			
	https://moments.canada150.gc.ca/	 	 			
	https://gocns-kedc-1.gc.ca/	 	 			
	https://census2011.gc.ca/	 	 			
	https://recensement2011.gc.ca/	 	 			
	https://travel.gc.ca/travelling/registration	100	100			
	https://www.rncan.gc.ca/energie/sources-denergie-et-reseau-de-distribution/charbon-et-captage-et-stockage-du-carbone/captage-et-stockage-du-carbone/feuille-de-route-du-captage-et-du-stockage-du-co2/4328	100	100			
	https://reseauduco2.gc.ca/	 	 			
	https://gocns-kedc-3.gc.ca/	 	 			
	https://www.article15.gc.ca/	 	 			
	https://census2006.gc.ca/	 	 			
	https://www12.statcan.gc.ca/census-recensement/index-eng.cfm	98	100			
	https://women-gender-equality.canada.ca/en/commemorations-celebrations/16-days/national-day-remembrance.html	100	100			
	https://www.privacyconference2007.gc.ca/	 	 			
	https://conferencevieprivee2007.gc.ca/	 	 			
	https://montebello2007.gc.ca/	 	 			
	https://1857.gc.ca/	 	 			
	https://www.international.gc.ca/world-monde/splash/splash-g7.aspx	100	100			
	https://g8.gc.ca/	 	 			
	https://www.acee-ceaa.gc.ca/	100	100			
	https://www.ceaa.gc.ca/	100	100			
	https://www.canadainternational.gc.ca/cuba/	97	97			
	https://www.canada.ca/en/atlantic-canada-opportunities.html	94	94			
	https://direct-aspte.acoa-apeca.gc.ca/	 	 			
	https://www.canada.ca/en/atlantic-canada-opportunities.html	94	94			
	https://direct.acoa-apeca.gc.ca/Welcome-Bienvenue.aspx	93	93			
	https://www.canada.ca/en/atlantic-canada-opportunities.html	94	94			
	https://www.canadainternational.gc.ca/jamaica-jamaique/	100	100			
	https://www.canadainternational.gc.ca/costa_rica/	97	97			
	https://www.canadainternational.gc.ca/southafrica-afriquedusud/	100	100			
	https://www.mollusca.gc.ca/	 	 			
	https://www.canada.ca/home.html	100	100			
	https://atlas-of-canada.gc.ca/	100	100			
	https://atlas-du-canada.gc.ca/	100	100			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.canada.ca/home.html	100	100			
	https://www.nutritionnordcanada.gc.ca/	100	100			
	https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html	100	100			
	https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html	100	100			
	https://disclosure.servicecanada.gc.ca/	 	 			
	https://catalogue.servicecanada.gc.ca/content/EForms/en/Index.html	99	99			
	https://divulgation.servicecanada.gc.ca/	 	 			
	https://ecolecanada.gc.ca/	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://mx.infrastructurecanada.gc.ca/	 	 			
	https://www.canada.ca/fr/sante-canada.html	98	98			
	https://www.securitepublique.gc.ca/	100	100			
	https://atlasofcanada.gc.ca/	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.canada.ca/en/health-canada.html	98	98			
	https://www.nutritionnorthcanada.gc.ca/	100	100			
	https://www.aboriginalcanada.gc.ca/	 	 			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.investcanada.ca/	91	97			
	https://westerneconomicdiversificationcanada.gc.ca/	 	 			
	https://accreditationcanada.gc.ca/	100	100			
	https://www.cic.gc.ca/	100	100			
	https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/discover-canada.html?utm_source=url-discovercanada&utm_medium=short-url&utm_campaign=generic	100	100			
	https://americascanada.gc.ca/	 	 			
	https://www.pc.gc.ca/en	100	100			
	https://entreprisescanada.gc.ca/	 	 			
	https://www.pc.gc.ca/en	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://www.pc.gc.ca/en	100	100			
	https://dns2.grainscanada.gc.ca/	 	 			
	https://access.grainscanada.gc.ca/	 	 			
	https://www.grainscanada.gc.ca/	100	100			
	https://collectionscanada.gc.ca/	100	100			
	https://data2.collectionscanada.gc.ca/	 	 			
	https://webtrends2.collectionscanada.gc.ca/	 	 			
	https://data4.collectionscanada.gc.ca/	 	 			
	https://amicus.collectionscanada.gc.ca/	 	 			
	https://www.collectionscanada.gc.ca/	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://srisupplier.contractscanada.gc.ca/	100	100			
	https://environnementcanada.gc.ca/	 	 			
	https://www.passeportcanada.gc.ca/	 	 			
	https://www.passportcanada.gc.ca/	 	 			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.cic.gc.ca/	100	100			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.investircanada.ca/	91	97			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://ecoleducanada.gc.ca/	100	100			
	https://gazetteducanada.gc.ca/	100	100			
	https://ecoledelafonctionpubliqueducanada.gc.ca/	100	100			
	https://autochtonesducanada.gc.ca/	 	 			
	https://www.portesducanada.gc.ca/	 	 			
	https://srv138.services.gc.ca/daf/q?id=5ab16c0a-2632-441b-acd5-709835fb6615&GoCTemplateCulture=fr-CA	100	100			
	https://lobbycanada.gc.ca/	94	94			
	https://industrycanada.gc.ca/	 	 			
	https://www.publicsafety.gc.ca/	100	100			
	https://cb-cda.gc.ca/splash	100	100			
	https://www.canada.ca/fr/affaires-autochtones-nord.html	100	100			
	https://cradpdf.drdc.gc.ca/	 	 			
	https://pubs.drdc.gc.ca/	 	 			
	https://www.drdc.gc.ca/	 	 			
	https://www.canada.ca/en/employment-social-development.html	98	98			
	https://sdc.gc.ca/	 	 			
	https://dsc-sdc.gc.ca/	 	 			
	https://www.canada.ca/en/employment-social-development.html	98	98			
	https://www.canada.ca/en/employment-social-development.html	98	98			
	https://www.canada.ca/en/employment-social-development.html	98	98			
	https://www12.esdc.gc.ca/	 	 			
	https://noc.esdc.gc.ca/	89	89			
	https://well-being.esdc.gc.ca/	 	 			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www12.statcan.gc.ca/census-recensement/index-eng.cfm	98	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://voyage3.gc.ca/	 	 			
	https://www.t1.voyage3.gc.ca/	 	 			
	https://www.t2.voyage3.gc.ca/	 	 			
	https://www.t99.voyage3.gc.ca/	 	 			
	https://www.voyage3.gc.ca/	 	 			
	https://www12.statcan.gc.ca/census-recensement/index-eng.cfm	100	100			
	https://women-gender-equality.canada.ca/en/commemorations-celebrations/16-days/national-day-remembrance.html	100	100			
	https://app.g7.gc.ca/	 	 			
	https://apptest.g7.gc.ca/	 	 			
	https://www.international.gc.ca/	100	100			
	https://aae-eaa.gc.ca/	 	 			
	https://otst.aae-eaa.gc.ca/	 	 			
	https://www.canadainternational.gc.ca/cuba/	97	97			
	https://apeca.gc.ca/	 	 			
	https://sra1.acoa-apeca.gc.ca/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1	73	73			
	https://azce-gw-prod-ip-2.acoa-apeca.gc.ca/	 	 			
	https://sra2.acoa-apeca.gc.ca/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1	73	73			
	https://sra1.acoa-apeca.gc.ca/+CSCOE+/logon.html?a0=86&a1=&a2=&a3=1&reason=1	73	73			
	https://www.canada.ca/en/atlantic-canada-opportunities.html	94	94			
	https://outlook.acoa-apeca.gc.ca/	 	 			
	https://www.canada.ca/en/atlantic-canada-opportunities.html	94	94			
	https://mms.acoa-apeca.gc.ca/	 	 			
	https://dns.acoa-apeca.gc.ca/	 	 			
	https://direct-dev.acoa-apeca.gc.ca/	 	 			
	https://direct-aspte-legacy.acoa-apeca.gc.ca/	 	 			
	https://www.canadainternational.gc.ca/jamaica-jamaique/	100	100			
	https://www.canadainternational.gc.ca/costa_rica/	97	97			
	https://www.canadainternational.gc.ca/southafrica-afriquedusud/	100	100			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www2.canada.gc.ca/	 	 			
	https://infocentre.canada.gc.ca/	 	 			
	https://dev.apps.canada.gc.ca/	 	 			
	https://imtoolcert.canada.gc.ca/	 	 			
	https://video1.servicecanada.gc.ca/	 	 			
	https://video2.servicecanada.gc.ca/	 	 			
	https://www5.servicecanada.gc.ca/	 	 			
	https://college.servicecanada.gc.ca/	 	 			
	https://catalogue-drm.servicecanada.gc.ca/	 	 			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.ecolecanada.gc.ca/	100	100			
	https://www.canada.ca/fr/immigration-refugies-citoyennete/organisation/publications-guides/decouvrir-canada.html?utm_source=url-decouvrirlecanada&utm_medium=short-url&utm_campaign=generic	100	100			
	https://www.canada.ca/fr/immigration-refugies-citoyennete/organisation/publications-guides/decouvrir-canada.html?utm_source=url-decouvrirlecanada&utm_medium=short-url&utm_campaign=generic	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.canada.ca/fr/sante-canada.html	98	98			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://smtp.workingincanada.gc.ca/	 	 			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://media.investincanada.gc.ca/	 	 			
	https://www.investcanada.ca/	91	97			
	https://sl.accreditationcanada.gc.ca/	 	 			
	https://www.accreditationcanada.gc.ca/	100	100			
	https://1800ocanada.gc.ca/	 	 			
	https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/discover-canada.html?utm_source=url-discovercanada&utm_medium=short-url&utm_campaign=generic	100	100			
	https://www.pc.gc.ca/en	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://www.pc.gc.ca/en	100	100			
	https://reservation.pc.gc.ca/Mobile/ChooseLanguage.aspx	100	100			
	https://mx2.grainscanada.gc.ca/	 	 			
	https://mx3.grainscanada.gc.ca/	 	 			
	https://wpgcmredge.grainscanada.gc.ca/	 	 			
	https://sharefile.grainscanada.gc.ca/	 	 			
	https://wpgssn.grainscanada.gc.ca/	 	 			
	https://ftp.grainscanada.gc.ca/	 	 			
	https://sso-iu.grainscanada.gc.ca/	 	 			
	https://z3950.collectionscanada.gc.ca/	 	 			
	https://phila.collectionscanada.gc.ca/	 	 			
	https://search-recherche.collectionscanada.gc.ca/	 	 			
	https://king.collectionscanada.gc.ca/	 	 			
	https://epe.lac-bac.gc.ca/003/008/099/003008-disclaimer.html?orig=/	100	100			
	https://demo.collectionscanada.gc.ca/	 	 			
	https://ftp.collectionscanada.gc.ca/	 	 			
	https://sftp.collectionscanada.gc.ca/	 	 			
	https://kingserv.collectionscanada.gc.ca/	 	 			
	https://listserv.collectionscanada.gc.ca/cgi-bin/wa?HOME	90	90			
	https://botex.collectionscanada.gc.ca/	 	 			
	https://www.infrastructure.gc.ca//	100	100			
	https://www.infrastructure.gc.ca//	100	100			
	https://sri-dif.contractscanada-contratscanada.gc.ca/	 	 			
	https://srisupplier.contractscanada-contratscanada.gc.ca/	 	 			
	https://dif-sri.contratscanada.gc.ca/	 	 			
	https://diffournisseur.contratscanada.gc.ca/	100	100			
	https://client.contratscanada.gc.ca/	 	 			
	https://difclient.contratscanada.gc.ca/	 	 			
	https://dif-sri.contratscanada-contractscanada.gc.ca/	 	 			
	https://srirequestsecuredata.contractscanada.gc.ca/	 	 			
	https://client.contractscanada.gc.ca/	 	 			
	https://sriclient.contractscanada.gc.ca/	 	 			
	https://environmentcanada.gc.ca/	 	 			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://smtp.travailleraucanada.gc.ca/	 	 			
	https://www.investircanada.ca/	91	97			
	https://www.educanada.ca/menu.aspx?lang=eng	100	100			
	https://www.ecoleducanada.gc.ca/	100	100			
	https://canadagazetteducanada.gc.ca/	100	100			
	https://www.ecoledelafonctionpubliqueducanada.gc.ca/	100	100			
	https://atlasducanada.gc.ca/	100	100			
	https://qa.lobbycanada.gc.ca/	 	 			
	https://mail.lobbycanada.gc.ca/	 	 			
	https://fs.lobbycanada.gc.ca/	 	 			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.nrcan.gc.ca/	100	100			
	https://www.publicsafety.gc.ca/	100	100			
	https://decisions.cb-cda.gc.ca/cb-cda/en/nav.do	90	90			
	https://ecollaboration1.acdi-cida.gc.ca/	 	 			
	https://ns1.acdi-cida.gc.ca/	 	 			
	https://ecollaboration2.acdi-cida.gc.ca/	 	 			
	https://remote4.acdi-cida.gc.ca/	 	 			
	https://ads-sra.acdi-cida.gc.ca/	 	 			
	https://bdca-ccdb.acdi-cida.gc.ca/	 	 			
	https://web.acdi-cida.gc.ca/	 	 			
	https://ns1.preprod.acdi-cida.gc.ca/	 	 			
	https://apprentissage-learning.acdi-cida.gc.ca/	 	 			
	https://reunion-meeting.acdi-cida.gc.ca/	 	 			
	https://mi.acdi-cida.gc.ca/	 	 			
	https://im.acdi-cida.gc.ca/	 	 			
	https://mi-im.acdi-cida.gc.ca/	 	 			
	https://mw-wm.acdi-cida.gc.ca/	 	 			
	https://mwm.acdi-cida.gc.ca/	 	 			
	https://ecollaboration.acdi-cida.gc.ca/	 	 			
	https://connexions.acdi-cida.gc.ca/	 	 			
	https://ext.acdi-cida.gc.ca/	 	 			
	https://wm-mw.acdi-cida.gc.ca/	 	 			
	https://gateway.acdi-cida.gc.ca/	 	 			
	https://unwomen.cida.gc.ca/	 	 			
	https://www.cida.gc.ca/	 	 			
	https://www.canada.ca/fr/sante-publique/services/maladies/vih-et-sida.html	100	100			
	https://www.canadainternational.gc.ca/korea-coree/	85	85			
	https://afc-cfa.gc.ca/	 	 			
	https://www.canadainternational.gc.ca/colombia-colombie/	97	97			
	https://www.canadainternational.gc.ca/serbia-serbie/	100	100			
	https://beta.infomedia.gc.ca/	 	 			
	https://api.infomedia.gc.ca/	 	 			
	https://www.infomedia.gc.ca/	 	 			
	https://www.international.gc.ca/world-monde/india-inde/	100	100			
	https://www.international.gc.ca/	100	100			
	https://www.canadainternational.gc.ca/thailand-thailande/	86	86			
	https://www.canadainternational.gc.ca/australia-australie/	100	100			
	https://www.canadainternational.gc.ca/mongolia-mongolie/	100	100			
	https://www.canadainternational.gc.ca/romania-roumanie/	100	100			
	https://www.international.gc.ca/world-monde/lithuania-lituanie/	100	100			
	https://www.canadainternational.gc.ca/tanzania-tanzanie/	100	100			
	https://www.international.gc.ca/world-monde/estonia-estonie/splash.aspx	100	 			
	https://www.canadainternational.gc.ca/ethiopia-ethiopie/	100	100			
	https://www.canadainternational.gc.ca/ethiopia-ethiopie/	100	100			
	https://www.canadainternational.gc.ca/nigeria/	100	100			
	https://www.canadainternational.gc.ca/nigeria/	100	100			
	https://www.canadainternational.gc.ca/algeria-algerie/	100	100			
	https://www.canadainternational.gc.ca/algeria-algerie/	100	100			
	https://www.canadainternational.gc.ca/austria-autriche/	93	93			
	https://www.canadainternational.gc.ca/syria-syrie/	97	97			
	https://www.canadainternational.gc.ca/indonesia-indonesie/	93	93			
	https://www.canadainternational.gc.ca/tunisia-tunisie/	100	100			
	https://www.canadainternational.gc.ca/russia-russie/	86	86			
	https://www.canadainternational.gc.ca/russia-russie/	86	86			
	https://www.canadainternational.gc.ca/malaysia-malaisie/	100	100			
	https://www.canadainternational.gc.ca/croatia-croatie/	100	100			
	https://www.international.gc.ca/world-monde/latvia-lettonie/splash.aspx	100	100			
	https://www.international.gc.ca/world-monde/latvia-lettonie/splash.aspx	100	100			
	https://cmf-fja.gc.ca/	100	100			
	https://recueil.cmf-fja.gc.ca/fja-cmf/fr/nav.do	90	90			
	https://reports.cmf-fja.gc.ca/fja-cmf/en/nav.do	90	90			
	https://www.cmf-fja.gc.ca/	100	100			
	https://recueil.fja.gc.ca/fja-cmf/fr/nav.do	90	90			
	https://www.canadainternational.gc.ca/sri_lanka/	100	100			
	https://www.canadainternational.gc.ca/guatemala/	97	97			
	https://www.canadainternational.gc.ca/venezuela/	97	97			
	https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management.html	100	100			
	https://www.canadainternational.gc.ca/panama/	97	97			
	https://forms.otc-cta.gc.ca/	100	100			
	https://www.otc-cta.gc.ca/eng/splashify-splash	100	84			
	https://www.international.gc.ca/world-monde/splash/united_states-etats_unis/splash-atlanta.aspx	100	100			
	https://bogota.gc.ca/	 	 			
	https://jakarta.gc.ca/	 	 			
	https://scmail.catsa-acsta.gc.ca/	 	 			
	https://www.catsa-acsta.gc.ca/en/language-langue	100	91			
	https://www.catsa-acsta.gc.ca/en	91	91			
	https://lietuva.gc.ca/	 	 			
	https://www.canadainternational.gc.ca/libya-libye/	86	86			
	https://rossiya.gc.ca/	 	 			
	https://www.canadainternational.gc.ca/kenya/	100	100			
	https://www.canadainternational.gc.ca/west_bank_gaza-cisjordanie_bande_de_gaza/	97	97			
	https://www.canadainternational.gc.ca/west_bank_gaza-cisjordanie_bande_de_gaza/	97	97			
	https://influenza.gc.ca/	 	 			
	https://pandemicinfluenza.gc.ca/	 	 			
	https://cap-pab.gc.ca/	 	 			
	https://cb-cda.gc.ca/splash	100	100			
	https://bc-cb.gc.ca/	 	 			
	https://cbac-cccb.gc.ca/	 	 			
	https://secb.gc.ca/	 	 			
	https://www.ecbc-secb.gc.ca/	 	 			
	https://neb.gc.ca/	 	 			
	https://www.one-neb.gc.ca/	 	 			
	https://www.neb.gc.ca/	 	 			
	https://pslreb.gc.ca/	 	 			
	https://www.crtefp-pslreb.gc.ca/	 	 			
	https://fpslreb.gc.ca/	 	 			
	https://nfb.gc.ca/	 	 			
	https://www.onf-nfb.gc.ca/	 	 			
	https://ns1.nfb.gc.ca/	 	 			
	https://ns2.nfb.gc.ca/	 	 			
	https://www.nfb.gc.ca/	 	 			
	https://cfgb.gc.ca/	 	 			
	https://www.rncan.gc.ca/nos-ressources-naturelles/sources-denergie-reseau-de-distr/lenergie-renouvelable/systemes-de-bioenergie/reseau-canadien-dinnovation-biomasse-rcib/17161	100	100			
	https://www.scib.gc.ca/	 	 			
	https://prendsalb.gc.cawww/	 	 			
	https://pmprb-cepmb.gc.ca/home	94	94			
	https://webmail.pmprb-cepmb.gc.ca/owa/auth/logon.aspx?url=https://webmail.pmprb-cepmb.gc.ca/owa/&reason=0	91	91			
	https://submissions.cepmb.gc.ca/	 	 			
	https://www.cepmb.gc.ca/	 	 			
	https://www.bio-iob.gc.ca/	100	100			
	https://www.pbo-dpb.gc.ca/en/	79	87			
	https://npb.gc.ca/	 	 			
	https://irb.gc.ca/	100	100			
	https://www2.cisr-irb.gc.ca/	 	 			
	https://www.cisr-irb.gc.ca/	100	100			
	https://irbdns01.irb.gc.ca/	 	 			
	https://irbdns02.irb.gc.ca/	 	 			
	https://ccri-cirb.gc.ca/	 	 			
	https://pslrb.gc.ca/	 	 			
	https://pmprb.gc.ca/	 	 			
	https://www.cepmb-pmprb.gc.ca/	 	 			
	https://www.csb.gc.ca/	95	95			
	https://mail1.csb.gc.ca/	 	 			
	https://www2.csb.gc.ca/	 	 			
	https://maintenance.csb.gc.ca/	100	100			
	https://csbonline.csb.gc.ca/	 	 			
	https://www.update.csb.gc.ca/	 	 			
	https://www.e-campaign.csb.gc.ca/	 	 			
	https://csbdirect-it.csb.gc.ca/	 	 			
	https://transmit-it.csb.gc.ca/	 	 			
	https://transmit.csb.gc.ca/	 	 			
	https://www.transmit.csb.gc.ca/	 	 			
	https://employer-st.csb.gc.ca/	 	 			
	https://transmit-st.csb.gc.ca/	 	 			
	https://www.csb.gc.ca/	95	95			
	https://cgsb.gc.ca/	 	 			
	https://osb.gc.ca/	 	 			
	https://bsf-osb.gc.ca/	 	 			
	https://tsb.gc.ca/	96	96			
	https://www.bst-tsb.gc.ca/	96	96			
	https://webmail.tsb.gc.ca/	 	 			
	https://www.tsb.gc.ca/	96	96			
	https://www.btb.gc.ca/	 	 			
	https://iaac.gc.ca/	100	100			
	https://aeic-iaac.gc.ca/	100	100			
	https://v41exedge01.lac-bac.gc.ca/	 	 			
	https://srv-pdlc-dns1.lac-bac.gc.ca/	 	 			
	https://v41exedge02.lac-bac.gc.ca/	 	 			
	https://srv-395-dns2.lac-bac.gc.ca/	 	 			
	https://owa.lac-bac.gc.ca/	 	 			
	https://rdacs-syscad.lac-bac.gc.ca/	 	 			
	https://service.lac-bac.gc.ca/	 	 			
	https://mobile.lac-bac.gc.ca/	 	 			
	https://epe.lac-bac.gc.ca/003/008/099/003008-disclaimer.html?orig=/	100	 			
	https://testing.lac-bac.gc.ca/	 	 			
	https://oai.lac-bac.gc.ca/	 	 			
	https://ill.lac-bac.gc.ca/	 	 			
	https://collection.lac-bac.gc.ca/	 	 			
	https://amicus.lac-bac.gc.ca/	 	 			
	https://rdrct.lac-bac.gc.ca/	 	 			
	https://listserv.lac-bac.gc.ca/	 	 			
	https://www.lac-bac.gc.ca/	100	100			
	https://cbac.gc.ca/	 	 			
	https://fcac.gc.ca/	 	 			
	https://fac.gc.ca/	 	 			
	https://aec-fac.gc.ca/	 	 			
	https://www.canada.ca/en/public-health.html	100	100			
	https://sip.catsa.gc.ca/	 	 			
	https://connexions.catsa.gc.ca/	81	81			
	https://tstconnexions.catsa.gc.ca/	 	 			
	https://meet.catsa.gc.ca/	 	 			
	https://myvdi.ext.catsa.gc.ca/	 	 			
	https://mail.ext.catsa.gc.ca/	 	 			
	https://autodiscover.ext.catsa.gc.ca/	 	 			
	https://bpss.ext.catsa.gc.ca/	 	 			
	https://webext.catsa.gc.ca/	 	 			
	https://ns2.atssc-scdata.gc.ca/	 	 			
